"","","","","","","","","","",""
"138","ADOLPHUS Tegelen","1446","Maître","Allemagne  ","Cologne","Paris","
          Maître ès arts (Paris)
          
            1446
          
          .
        ","oui","non","non"
"139","ADOLPHUS de Anchermont","1343","Maître","  ","","Paris","
          Maître ès arts (Paris)
          
            1352
          
          .
        ","non","non","non"
"137","ADOLPHUS de Praellis","1374","Extérieur","  ","","","?Magister (Paris).","non","oui","non"
"140","ADOLPHUS de Werda","1355","Maître","  ","","Paris","
          Maître ès arts (Paris)
          
            1355
          
          .
        ","non","non","non"
"16860","ADRIANUS","1189","Étudiant","  ","","Sainte-Geneviève","","oui","non","non"
"141","ADRIANUS Delft","1487","Gradué","  ","Utrecht","Paris","
          Licencié ès arts (Paris)
          
            1487
          
          .
        ","non","non","non"
"16165","ADRIANUS Fortis","1480","Maître","  ","Noyon","Paris","
          Maître ès arts (Paris)
          
            1481
          
          .
        ","non","non","non"
"15443","ADRIANUS Galteri","1515","Maître","  ","","Paris","
          Étudiant (Paris)
          
            1492
          
          .
        ","oui","non","non"
"142","ADRIANUS Hagis","1474","Maître","Pays-Bas  ","Utrecht","Paris","
          Maître ès arts (Paris)
          
            1473
          
          .
        ","non","oui","non"
"143","ADRIANUS Jacobi","1451","Gradué","Pays-Bas  ","Utrecht","Paris","
          Bachelier ès arts (Paris)
          
            1451
          
          .
        ","non","non","non"
"17116","ADRIANUS Lebos","1464","Étudiant","  ","","Paris","Étudiant ?","non","non","non"
"16164","ADRIANUS Liebart","1477","Maître","  ","Tournai","Paris","
          Maître ès arts (Paris)
          
            1477
          
        ","non","oui","non"
"15578","ADRIANUS Maes","1496","Gradué","  ","Thérouanne","Paris","
          Bachelier en droit canon (Paris) (le 15 août)
          
            1496
          
          .
        ","non","non","non"
"151","ADRIANUS Petri","1444","Maître","  ","","Paris","
          Maître ès arts (Paris)
          
            1444
          
          .
        ","non","non","non"
"144","ADRIANUS Remboldi","1416","Gradué","  ","","Paris","
          Bachelier ès arts (Paris)
          
            1451
          
          .
        ","non","non","non"
"145","ADRIANUS Scriptoris","1450","Maître","Pays-Bas  ","Utrecht","Paris","
          Maître ès arts (Paris)
          
            1450
          
          .
        ","non","non","non"
"146","ADRIANUS Simonis","1452","Gradué","Pays-Bas  ","Utrecht","Paris","
          Licencié ès arts (Paris)
          
            1453
          
          .
        ","non","non","non"
